ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"102.67.3.210","elite","AS36920","NG","KKON Technologies Ltd","124","Fiberone Broadband","5678","socks4","939","1","2023-02-24T17:08:06.669Z","60","623","1043"
"189.201.191.20","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","142","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","1358","1","2023-02-24T17:08:06.308Z","99","1029","1038"
"92.247.23.114","elite","AS8717","BG","Mobiltel EAD","37","Mobiltel EAD","53281","http","1103","818","2023-02-24T17:08:06.006Z","100","1120","1120"
"74.33.175.72","elite","AS5650","US","Frontier Communications Solutions","144","ADSL Frontier Communications Plymouth NY","8080","socks5","1332","1","2023-02-24T17:08:06.308Z","98","1086","1103"
"92.38.45.72","elite","AS61979","RU","Stolica Svyazi Ltd.","169","Stolica Svyazi Ltd","3629","socks4","951","1","2023-02-24T17:08:06.312Z","93","947","1013"
"189.2.86.163","elite","AS4230","BR","Claro S.A.","275","Claro S.A","4153","socks4","930","1","2023-02-24T17:08:06.664Z","99","1086","1096"
"103.116.202.241","elite","AS58495","ID","PT Parsaoran Global Datatrans","185","PT DUTA VISUAL NUSANTARA TIVI TUJUH","5678","socks4","1086","1","2023-02-24T17:08:06.001Z","97","1059","1095"
"142.93.52.63","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","8080","socks4","963","10","2023-02-24T17:08:06.668Z","100","1043","1045"
"94.154.31.136","elite","AS197833","PL","Slawomir Zapart trading as ZAPNET KAROL ZAPART Sp.j","35","ZapNet Karol Zapart sj","2114","socks4","1006","1","2023-02-24T17:08:06.003Z","70","789","1120"
"165.225.204.117","elite","AS5511","FR","Orange S.A - Opentransit network","4","ZSCALER","10605","socks4","998","1","2023-02-24T17:08:06.663Z","99","1019","1025"
"202.141.242.3","elite","AS9260","PK","Multinet Broadband","163","Multinet Broadband","55544","socks4","1005","1","2023-02-24T17:08:06.310Z","97","1088","1117"
"195.149.125.91","elite","AS29475","UA","Complex Communication Systems Ltd","132","CCS ODESSA","1080","socks4","889","1","2023-02-24T17:08:06.671Z","50","535","1069"
"103.251.222.1","elite","AS58972","IN","BHOMIKA","216","Bhomika","4145","socks4","1294","1","2023-02-24T17:08:06.309Z","100","1013","1018"
"38.127.172.221","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks4","931","1","2023-02-24T17:08:06.669Z","100","1029","1031"
"185.25.119.57","elite","AS200000","UA","Hosting Ukraine LTD","39","new Hosting","7497","socks5","922","1","2023-02-24T17:08:06.670Z","100","1043","1046"
"157.230.34.152","elite","AS14061","SG","DigitalOcean, LLC","174","DigitalOcean, LLC","41885","http","1670","1355","2023-02-24T17:08:05.714Z","100","1002","1004"
"114.99.15.30","elite","AS4134","CN","Chinanet","266","Chinanet AH","8888","socks4","1587","1","2023-02-24T17:08:05.465Z","59","642","1083"
